territory_id,state,city,pattern,status,date_from,date_to,url
1503077,PA,Garrafão do Norte,adiarios_v1,atual,2018-07-31,2024-10-22,https://www.garrafaodonorte.pa.gov.br/diariooficial.php
1504059,PA,Mãe do Rio,adiarios_v1,descontinuado,2022-08-24,2022-09-20,https://www.prefeituramaedorio.pa.gov.br/diariooficial.php
1508126,PA,Ulianópolis,adiarios_v1,descontinuado,2022-06-08,2023-02-06,https://www.ulianopolis.pa.gov.br/diariooficial.php
1600709,AP,Tartarugalzinho,adiarios_v1,atual,0024-10-14,2024-10-25,https://www.tartarugalzinho.ap.gov.br/diariooficial.php
2101707,MA,Barreirinhas,adiarios_v1,descontinuado,2017-01-02,2021-05-25,https://www.barreirinhas.ma.gov.br/diariooficial.php
2102804,MA,Carolina,adiarios_v1,descontinuado,2024-04-17,2024-07-01,https://www.carolina.ma.gov.br/diariooficial.php
2104008,MA,Esperantinópolis,adiarios_v1,atual,2002-02-24,2024-10-25,https://www.esperantinopolis.ma.gov.br/diariooficial.php
2105104,MA,Icatu,adiarios_v1,atual,2021-03-29,2024-10-21,https://www.icatu.ma.gov.br/diariooficial.php
2105401,MA,Itapecuru Mirim,adiarios_v1,atual,2021-03-29,2024-10-25,https://www.itapecurumirim.ma.gov.br/diariooficial.php
2105708,MA,Lago da Pedra,adiarios_v1,atual,2018-12-31,2024-10-25,https://www.lagodapedra.ma.gov.br/diariooficial.php
2106003,MA,Lima Campos,adiarios_v1,atual,2013-01-02,2024-10-25,https://www.limacampos.ma.gov.br/diariooficial.php
2106326,MA,Maracaçumé,adiarios_v1,atual,2019-10-20,2024-10-21,https://www.maracacume.ma.gov.br/diariooficial.php
2106631,MA,Matões do Norte,adiarios_v1,atual,2010-03-29,2024-10-25,https://www.matoesdonorte.ma.gov.br/diariooficial.php
2107506,MA,Paço do Lumiar,adiarios_v1,atual,2017-08-03,2024-10-25,https://www.pacodolumiar.ma.gov.br/diariooficial.php
2108207,MA,Pedreiras,adiarios_v1,atual,2015-02-20,2024-10-25,https://www.pedreiras.ma.gov.br/diariooficial.php
2108504,MA,Pindaré-Mirim,adiarios_v1,atual,2020-01-02,2024-10-25,https://www.pindaremirim.ma.gov.br/diariooficial.php
2108702,MA,Pio XII,adiarios_v1,descontinuado,2017-03-09,2024-07-31,https://www.pioxii.ma.gov.br/diariooficial.php
2110039,MA,Santa Luzia do Paruá,adiarios_v1,atual,2023-11-24,2024-10-25,https://www.santaluziadoparua.ma.gov.br/diariooficial.php
2112233,MA,Trizidela do Vale,adiarios_v1,atual,2015-12-09,2024-10-25,https://www.trizideladovale.ma.gov.br/diariooficial.php
2112704,MA,Vargem Grande,adiarios_v1,atual,2017-01-08,2024-10-23,https://www.vargemgrande.ma.gov.br/diariooficial.php
2112852,MA,Vila Nova dos Martírios,adiarios_v1,atual,2021-06-14,2024-10-24,https://www.vilanovadosmartirios.ma.gov.br/diariooficial.php
2304004,CE,Coreaú,adiarios_v1,descontinuado,2024-05-03,2024-07-29,https://www.coreau.ce.gov.br/diariooficial.php
2304202,CE,Crato,adiarios_v1,descontinuado,2019-04-30,2021-09-14,https://www.crato.ce.gov.br/diariooficial.php
2304608,CE,General Sampaio,adiarios_v1,atual,2016-09-15,2024-10-25,https://www.generalsampaio.ce.gov.br/diariooficial.php
2305209,CE,Hidrolândia,adiarios_v1,atual,2007-04-09,2024-10-24,https://www.hidrolandia.ce.gov.br/diariooficial.php
2305308,CE,Ibiapina,adiarios_v1,descontinuado,2022-11-25,2024-04-24,https://www.ibiapina.ce.gov.br/diariooficial.php
2306256,CE,Itaitinga,adiarios_v1,atual,2018-04-25,2024-10-25,https://www.itaitinga.ce.gov.br/diariooficial.php
2306900,CE,Jaguaribe,adiarios_v1,atual,2006-06-23,2024-10-25,https://www.jaguaribe.ce.gov.br/diariooficial.php
2307304,CE,Juazeiro do Norte,adiarios_v1,atual,2021-01-12,2024-10-25,https://www.juazeirodonorte.ce.gov.br/diariooficial.php
2307601,CE,Limoeiro do Norte,adiarios_v1,atual,2017-04-10,2024-10-25,https://www.limoeirodonorte.ce.gov.br/diariooficial.php
2308302,CE,Milagres,adiarios_v1,descontinuado,2016-05-20,2024-08-30,https://www.milagres.ce.gov.br/diariooficial.php
2308500,CE,Mombaça,adiarios_v1,descontinuado,2017-03-24,2018-01-10,https://www.mombaca.ce.gov.br/diariooficial.php
2308609,CE,Monsenhor Tabosa,adiarios_v1,descontinuado,2022-01-03,2023-07-10,https://www.monsenhortabosa.ce.gov.br/diariooficial.php
2308906,CE,Morrinhos,adiarios_v1,descontinuado,2021-07-27,2022-03-31,https://www.morrinhos.ce.gov.br/diariooficial.php
2309102,CE,Mulungu,adiarios_v1,descontinuado,2021-02-04,2021-04-08,https://www.mulungu.ce.gov.br/diariooficial.php
2309607,CE,Pacajus,adiarios_v1,atual,2018-10-26,2024-10-25,https://www.pacajus.ce.gov.br/diariooficial.php
2310407,CE,Paramoti,adiarios_v1,atual,2023-01-02,2024-10-25,https://www.paramoti.ce.gov.br/diariooficial.php
2310803,CE,Pereiro,adiarios_v1,atual,2020-01-03,2024-10-23,https://www.pereiro.ce.gov.br/diariooficial.php
2312205,CE,Santa Quitéria,adiarios_v1,descontinuado,2021-05-23,2022-12-30,https://www.santaquiteria.ce.gov.br/diariooficial.php
2312304,CE,São Benedito,adiarios_v1,atual,0018-02-15,2024-10-25,https://www.saobenedito.ce.gov.br/diariooficial.php
2312502,CE,São João do Jaguaribe,adiarios_v1,atual,2006-06-23,2024-10-25,https://www.jaguaribe.ce.gov.br/diariooficial.php
2313302,CE,Tauá,adiarios_v1,atual,2019-08-30,2024-10-25,https://www.taua.ce.gov.br/diariooficial.php
2313401,CE,Tianguá,adiarios_v1,atual,2021-11-03,2024-10-25,https://www.tiangua.ce.gov.br/diariooficial.php
2313906,CE,Uruoca,adiarios_v1,atual,2017-01-02,2024-10-25,https://www.uruoca.ce.gov.br/diariooficial.php
2314102,CE,Viçosa do Ceará,adiarios_v1,atual,2018-06-12,2024-10-25,https://www.vicosa.ce.gov.br/diariooficial.php
2401909,RN,Caiçara do Rio do Vento,adiarios_v1,descontinuado,2023-03-22,2023-05-02,https://www.caicaradoriodovento.rn.gov.br/diariooficial.php
2402105,RN,Campo Redondo,adiarios_v1,descontinuado,2024-06-17,2024-07-23,https://www.camporedondo.rn.gov.br/diariooficial.php
2403509,RN,Espírito Santo,adiarios_v1,atual,2024-09-06,2024-10-01,https://www.espiritosanto.rn.gov.br/diariooficial.php
2403905,RN,Francisco Dantas,adiarios_v1,atual,1983-05-05,2024-10-17,https://www.franciscodantas.rn.gov.br/diariooficial.php
2404903,RN,Itaú,adiarios_v1,atual,2021-01-04,2024-10-25,https://www.itau.rn.gov.br/diariooficial.php
2405108,RN,Jandaíra,adiarios_v1,descontinuado,2022-12-20,2023-03-17,https://www.jandaira.rn.gov.br/diariooficial.php
2405900,RN,João Dias,adiarios_v1,atual,2022-03-21,2024-10-25,https://www.joaodias.rn.gov.br/diariooficial.php
2407005,RN,Luís Gomes,adiarios_v1,atual,2018-04-03,2024-10-27,https://www.luisgomes.rn.gov.br/diariooficial.php
2407252,RN,Major Sales,adiarios_v1,atual,0202-08-04,2024-10-25,https://www.majorsales.rn.gov.br/diariooficial.php
2408300,RN,Nova Cruz,adiarios_v1,atual,2013-04-01,2024-10-25,https://www.novacruz.rn.gov.br/diariooficial.php
2409100,RN,Passa e Fica,adiarios_v1,atual,2014-01-04,2024-10-23,https://www.passaefica.rn.gov.br/diariooficial.php
2409407,RN,Pau dos Ferros,adiarios_v1,atual,2022-09-28,2024-10-25,https://www.paudosferros.rn.gov.br/diariooficial.php
2410306,RN,Serra Caiada,adiarios_v1,descontinuado,2023-01-31,2023-02-17,https://www.serracaiada.rn.gov.br/diariooficial.php
2411007,RN,Rodolfo Fernandes,adiarios_v1,atual,2015-02-05,2024-10-24,https://www.rodolfofernandes.rn.gov.br/diariooficial.php
2411205,RN,Santa Cruz,adiarios_v1,atual,2022-01-04,2024-10-25,https://www.santacruz.rn.gov.br/diariooficial.php
2411908,RN,São Francisco do Oeste,adiarios_v1,atual,2023-02-07,2024-10-25,https://www.saofranciscodooeste.rn.gov.br/diariooficial.php
2413706,RN,Sítio Novo,adiarios_v1,descontinuado,2022-12-29,2023-10-18,https://www.sitionovo.rn.gov.br/diariooficial.php
2413805,RN,Taboleiro Grande,adiarios_v1,atual,2013-01-28,2024-10-24,https://www.taboleirogrande.rn.gov.br/diariooficial.php
2414159,RN,Tenente Laurentino Cruz,adiarios_v1,atual,2024-05-30,2024-10-25,https://www.tenentelaurentinocruz.rn.gov.br/diariooficial.php
2507309,PB,Jacaraú,adiarios_v1,atual,2019-03-07,2024-10-25,https://www.jacarau.pb.gov.br/diariooficial.php
2507408,PB,Jericó,adiarios_v1,descontinuado,2021-06-01,2024-08-13,https://www.jerico.pb.gov.br/diariooficial.php
2509156,PB,Marizópolis,adiarios_v1,atual,2021-01-27,2024-10-24,https://www.marizopolis.pb.gov.br/diariooficial.php
2511707,PB,Pilõezinhos,adiarios_v1,atual,2022-06-01,2024-10-25,https://www.piloezinhos.pb.gov.br/diariooficial.php
2512747,PB,Riachão,adiarios_v1,atual,2024-02-29,2024-10-25,https://www.riachao.pb.gov.br/diariooficial.php
2512754,PB,Riachão do Bacamarte,adiarios_v1,atual,2024-02-29,2024-10-25,https://www.riachao.pb.gov.br/diariooficial.php
2512762,PB,Riachão do Poço,adiarios_v1,atual,2024-02-29,2024-10-25,https://www.riachao.pb.gov.br/diariooficial.php
2514453,PB,São José dos Ramos,adiarios_v1,atual,2021-01-04,2024-10-11,https://www.saojosedosramos.pb.gov.br/diariooficial.php
2515906,PB,Serraria,adiarios_v1,atual,2024-03-01,2024-10-02,https://www.serraria.pb.gov.br/diariooficial.php
2515930,PB,Sertãozinho,adiarios_v1,descontinuado,2024-02-01,2027-07-05,https://www.sertaozinho.pb.gov.br/diariooficial.php
2516003,PB,Solânea,adiarios_v1,atual,2021-05-13,2024-09-03,https://www.solanea.pb.gov.br/diariooficial.php
2516409,PB,Tacima,adiarios_v1,atual,2021-03-19,2024-10-25,https://www.pmtacima.pb.gov.br/diariooficial.php
2611101,PE,Petrolina,doem,atual,2014-03-06,2024-10-25,https://doem.org.br/pe/petrolina/diarios
2614303,PE,Moreilândia,adiarios_v1,atual,2021-04-09,2024-10-23,https://www.moreilandia.pe.gov.br/diariooficial.php
2804805,SE,Nossa Senhora do Socorro,doem,atual,2023-01-02,2024-10-25,https://doem.org.br/se/nossasenhoradosocorro/diarios
2900306,BA,Acajutiba,doem,atual,2013-01-30,2024-10-25,https://doem.org.br/ba/acajutiba/diarios
2900702,BA,Alagoinhas,doem,atual,2015-01-28,2024-10-25,https://doem.org.br/ba/alagoinhas/diarios
2900801,BA,Alcobaça,doem,atual,2012-01-02,2024-10-25,https://doem.org.br/ba/alcobaca/diarios
2901403,BA,Angical,doem,atual,2021-01-04,2024-10-25,https://doem.org.br/ba/angical/diarios
2902658,BA,Banzaê,doem,atual,2017-02-02,2024-10-25,https://doem.org.br/ba/banzae/diarios
2904506,BA,Brotas de Macaúbas,doem,atual,2019-08-13,2024-10-24,https://doem.org.br/ba/brotasdemacaubas/diarios
2905206,BA,Caetité,doem,atual,2021-04-27,2024-10-25,https://doem.org.br/ba/caetite/diarios
2906006,BA,Campo Formoso,doem,atual,2013-01-31,2024-10-25,https://doem.org.br/ba/campoformoso/diarios
2906824,BA,Canudos,doem,atual,2013-01-04,2024-10-26,https://doem.org.br/ba/canudos/diarios
2907806,BA,Cícero Dantas,doem,atual,2012-01-03,2024-10-25,https://doem.org.br/ba/cicerodantas/diarios
2907905,BA,Cipó,doem,atual,2012-01-02,2024-10-25,http://doem.org.br/ba/cipo/diarios
2909406,BA,Cotegipe,doem,atual,2023-01-05,2024-10-25,https://doem.org.br/ba/cotegipe/diarios
2909703,BA,Cristópolis,doem,atual,2021-01-12,2024-10-25,https://doem.org.br/ba/cristopolis/diarios
2909802,BA,Cruz das Almas,doem,atual,2021-04-01,2024-10-25,https://doem.org.br/ba/cruzdasalmas/diarios
2910602,BA,Esplanada,doem,atual,2021-01-04,2024-10-25,https://doem.org.br/ba/esplanada/diarios
2911105,BA,Formosa do Rio Preto,doem,atual,2021-01-04,2024-10-26,https://doem.org.br/ba/formosadoriopreto/diarios
2913705,BA,Inhambupe,doem,atual,2013-01-02,2024-10-25,https://doem.org.br/ba/inhambupe/diarios
2913903,BA,Ipiaú,doem,atual,2020-02-03,2024-10-25,http://doem.org.br/ba/ipiau/diarios
2914505,BA,Irará,doem,atual,2014-04-24,2024-10-25,https://doem.org.br/ba/irara/diarios
2914703,BA,Itaberaba,doem,atual,2022-07-04,2024-10-28,https://doem.org.br/ba/itaberaba/diarios
2915601,BA,Itamaraju,doem,atual,2008-03-28,2024-10-25,https://doem.org.br/ba/itamaraju/diarios
2916401,BA,Itapetinga,doem,atual,2010-01-04,2024-10-25,https://doem.org.br/ba/itapetinga/diarios
2916500,BA,Itapicuru,doem,atual,2014-01-02,2024-10-25,http://doem.org.br/ba/itapicuru/diarios
2917201,BA,Ituaçu,doem,atual,2015-02-04,2024-10-25,https://doem.org.br/ba/ituacu/diarios
2917607,BA,Jaguaquara,doem,atual,2021-04-05,2024-10-25,http://doem.org.br/ba/jaguaquara/diarios
2918407,BA,Juazeiro,doem,atual,2013-02-01,2024-10-26,https://doem.org.br/ba/juazeiro/diarios
2918803,BA,Laje,doem,atual,2020-01-08,2024-10-25,http://doem.org.br/ba/laje/diarios
2918902,BA,Lajedão,doem,atual,2021-04-14,2024-10-25,http://doem.org.br/ba/lajedao/diarios
2919603,BA,Macajuba,doem,atual,2014-03-17,2024-10-25,https://doem.org.br/ba/macajuba/diarios
2920908,BA,Mascote,doem,atual,2010-01-04,2024-10-25,https://doem.org.br/ba/mascote/diarios
2921500,BA,Monte Santo,doem,atual,2013-01-09,2024-10-24,http://doem.org.br/ba/montesanto/diarios
2921708,BA,Morro do Chapéu,doem,atual,2013-03-01,2024-10-25,https://doem.org.br/ba/morrodochapeu/diarios
2922003,BA,Mucuri,doem,atual,2011-04-05,2024-10-24,https://doem.org.br/ba/mucuri/diarios
2925501,BA,Prado,doem,atual,2013-02-04,2024-10-23,https://doem.org.br/ba/prado/diarios
2927705,BA,Santa Cruz Cabrália,doem,atual,2017-01-09,2024-10-25,https://doem.org.br/ba/santacruzcabralia/diarios
2928406,BA,Santa Rita de Cássia,doem,atual,2021-01-04,2024-10-25,https://doem.org.br/ba/santaritadecassia/diarios
2928802,BA,Santo Estêvão,doem,atual,2010-01-04,2024-10-25,https://doem.org.br/ba/santoestevao/diarios
2929701,BA,Sátiro Dias,doem,atual,2021-03-30,2024-10-25,https://doem.org.br/ba/satirodias/diarios
2930105,BA,Senhor do Bonfim,doem,atual,2013-01-03,2024-10-25,https://doem.org.br/ba/senhordobonfim/diarios
2930204,BA,Sento Sé,doem,atual,2017-01-02,2024-10-25,https://doem.org.br/ba/sentose/diarios
2931301,BA,Tapiramutá,doem,atual,2021-01-04,2024-10-25,http://doem.org.br/ba/tapiramuta/diarios
2931608,BA,Teolândia,doem,atual,2014-01-15,2024-10-25,https://doem.org.br/ba/teolandia/diarios
2931905,BA,Tucano,doem,atual,2013-01-04,2024-10-25,https://doem.org.br/ba/tucano/diarios
4110508,PR,Ipiranga,doem,atual,2015-09-28,2024-10-28,https://doem.org.br/pr/ipiranga/diarios
4126702,PR,Tamboara,doem,atual,2022-08-22,2024-10-25,https://doem.org.br/pr/tamboara/diarios
