id,nome,unidade_federativa,regiao,categoria
ZZ,União Federal,,,união
11,Rondônia,,norte,estado
12,Acre,,norte,estado
13,Amazonas,,norte,estado
14,Roraima,,norte,estado
15,Pará,,norte,estado
16,Amapá,,norte,estado
17,Tocantins,,norte,estado
21,Maranhão,,nordeste,estado
22,Piauí,,nordeste,estado
23,Ceará,,nordeste,estado
24,Rio Grande do Norte,,nordeste,estado
25,Paraíba,,nordeste,estado
26,Pernambuco,,nordeste,estado
27,Alagoas,,nordeste,estado
28,Sergipe,,nordeste,estado
29,Bahia,,nordeste,estado
31,Minas Gerais,,sudeste,estado
32,Espírito Santo,,sudeste,estado
33,Rio de Janeiro,,sudeste,estado
35,São Paulo,,sudeste,estado
41,Paraná,,sul,estado
42,Santa Catarina,,sul,estado
43,Rio Grande do Sul,,sul,estado
50,Mato Grosso do Sul,,centro-oeste,estado
51,Mato Grosso,,centro-oeste,estado
52,Goiás,,centro-oeste,estado
53,Distrito Federal,,centro-oeste,distrito
70001,Associação dos Municípios Alagoanos,AL,nordeste,cooperação intermunicipal
70002,Associação Amazonense de Municípios,AM,norte,cooperação intermunicipal
70003,"Associação dos Municípios do Sul, Extremo Sul e Sudoeste da Bahia",BA,nordeste,cooperação intermunicipal
70004,Associação dos Municípios do Estado do Ceará,CE,nordeste,cooperação intermunicipal
70005,Associação dos Municípios do Espírito Santo,ES,sudeste,cooperação intermunicipal
70006,Associação Goiana de Municípios,GO,centro-oeste,cooperação intermunicipal
70007,Federação Goiana de Municípios,GO,centro-oeste,cooperação intermunicipal
70008,Associação Mineira de Municípios,MG,sudeste,cooperação intermunicipal
70009,Associação dos Municípios de Mato Grosso do Sul,MS,centro-oeste,cooperação intermunicipal
70010,Associação Mato-grossense dos Municípios,MT,centro-oeste,cooperação intermunicipal
70011,Federação das Associações de Municípios do Estado do Pará,PA,norte,cooperação intermunicipal
70012,Federação das Associações de Municípios da Paraíba,PB,nordeste,cooperação intermunicipal
70013,Associação Municipalista de Pernambuco,PE,nordeste,cooperação intermunicipal
70014,Associação Piauinense de Municípios,PI,nordeste,cooperação intermunicipal
70015,Associação dos Municípios do Paraná,PR,sul,cooperação intermunicipal
70016,Associação Estadual de Municípios do Rio de Janeiro,RJ,sudeste,cooperação intermunicipal
70017,Federação dos Municípios do Rio Grande do Norte,RN,nordeste,cooperação intermunicipal
70018,Associação Rondoniense de Municípios,RO,norte,cooperação intermunicipal
70019,Associação dos Municípios de Roraima,RR,norte,cooperação intermunicipal
70020,Federação das Associações de Municípios do Rio Grande do Sul,RS,sul,cooperação intermunicipal
70021,Associação dos Municípios da Região Centro Sul,SE,nordeste,cooperação intermunicipal
70022,Associação Paulista de Municípios,SP,sudeste,cooperação intermunicipal
1100015,Alta Floresta D'Oeste,RO,norte,municipio
1100023,Ariquemes,RO,norte,municipio
1100031,Cabixi,RO,norte,municipio
1100049,Cacoal,RO,norte,municipio
1100056,Cerejeiras,RO,norte,municipio
1100064,Colorado do Oeste,RO,norte,municipio
1100072,Corumbiara,RO,norte,municipio
1100080,Costa Marques,RO,norte,municipio
1100098,Espigão D'Oeste,RO,norte,municipio
1100106,Guajará-Mirim,RO,norte,municipio
1100114,Jaru,RO,norte,municipio
1100122,Ji-Paraná,RO,norte,municipio
1100130,Machadinho D'Oeste,RO,norte,municipio
1100148,Nova Brasilândia D'Oeste,RO,norte,municipio
1100155,Ouro Preto do Oeste,RO,norte,municipio
1100189,Pimenta Bueno,RO,norte,municipio
1100205,Porto Velho,RO,norte,municipio
1100254,Presidente Médici,RO,norte,municipio
1100262,Rio Crespo,RO,norte,municipio
1100288,Rolim de Moura,RO,norte,municipio
1100296,Santa Luzia D'Oeste,RO,norte,municipio
1100304,Vilhena,RO,norte,municipio
1100320,São Miguel do Guaporé,RO,norte,municipio
1100338,Nova Mamoré,RO,norte,municipio
1100346,Alvorada D'Oeste,RO,norte,municipio
1100379,Alto Alegre dos Parecis,RO,norte,municipio
1100403,Alto Paraíso,RO,norte,municipio
1100452,Buritis,RO,norte,municipio
