entity_id,acronym,name,federal_unity,scope,category,slug
5200050,,Abadia de Goiás,GO,municipal,municipality,temp
3100104,,Abadia dos Dourados,MG,municipal,municipality,temp
5200100,,Abadiânia,GO,municipal,municipality,temp
3100203,,Abaeté,MG,municipal,municipality,temp
1500107,,Abaetetuba,PA,municipal,municipality,temp
2300101,,Abaiara,CE,municipal,municipality,temp
2900108,,Abaíra,BA,municipal,municipality,temp
2900207,,Abaré,BA,municipal,municipality,temp
4100103,,Abatiá,PR,municipal,municipality,temp
4200051,,Abdon Batista,SC,municipal,municipality,temp
1500131,,Abel Figueiredo,PA,municipal,municipality,temp
4200101,,Abelardo Luz,SC,municipal,municipality,temp
3100302,,Abre Campo,MG,municipal,municipality,temp
2600054,,Abreu e Lima,PE,municipal,municipality,temp
1700251,,Abreulândia,TO,municipal,municipality,temp
3100401,,Acaiaca,MG,municipal,municipality,temp
2100055,,Açailândia,MA,municipal,municipality,temp
2900306,,Acajutiba,BA,municipal,municipality,temp
1500206,,Acará,PA,municipal,municipality,temp
2300150,,Acarape,CE,municipal,municipality,temp
2300200,,Acaraú,CE,municipal,municipality,temp
2400109,,Acari,RN,municipal,municipality,temp
2200053,,Acauã,PI,municipal,municipality,temp
4300034,,Aceguá,RS,municipal,municipality,temp
2300309,,Acopiara,CE,municipal,municipality,temp
5100102,,Acorizal,MT,municipal,municipality,temp
1200013,,Acrelândia,AC,municipal,municipality,temp
5200134,,Acreúna,GO,municipal,municipality,temp
2400208,,Açu,RN,municipal,municipality,temp
3100500,,Açucena,MG,municipal,municipality,temp
3500105,,Adamantina,SP,municipal,municipality,temp
5200159,,Adelândia,GO,municipal,municipality,temp
3500204,,Adolfo,SP,municipal,municipality,temp
4100202,,Adrianópolis,PR,municipal,municipality,temp
2900355,,Adustina,BA,municipal,municipality,temp
2600104,,Afogados da Ingazeira,PE,municipal,municipality,temp
2400307,,Afonso Bezerra,RN,municipal,municipality,temp
3200102,,Afonso Cláudio,ES,municipal,municipality,temp
2100105,,Afonso Cunha,MA,municipal,municipality,temp
2600203,,Afrânio,PE,municipal,municipality,temp
1500305,,Afuá,PA,municipal,municipality,temp
2600302,,Agrestina,PE,municipal,municipality,temp
2200103,,Agricolândia,PI,municipal,municipality,temp
