id,name,state_code,state,spider_prefix
5200050,Abadia de Goiás,GO,Goiás,go_abadia_de_goias
3100104,Abadia dos Dourados,MG,Minas Gerais,mg_abadia_dos_dourados
5200100,Abadiânia,GO,Goiás,go_abadiania
3100203,Abaeté,MG,Minas Gerais,mg_abaete
1500107,Abaetetuba,PA,Pará,pa_abaetetuba
2300101,Abaiara,CE,Ceará,ce_abaiara
2900108,Abaíra,BA,Bahia,ba_abaira
2900207,Abaré,BA,Bahia,ba_abare
4100103,Abatiá,PR,Paraná,pr_abatia
4200051,Abdon Batista,SC,Santa Catarina,sc_abdon_batista
1500131,Abel Figueiredo,PA,Pará,pa_abel_figueiredo
4200101,Abelardo Luz,SC,Santa Catarina,sc_abelardo_luz
3100302,Abre Campo,MG,Minas Gerais,mg_abre_campo
2600054,Abreu e Lima,PE,Pernambuco,pe_abreu_e_lima
1700251,Abreulândia,TO,Tocantins,to_abreulandia
3100401,Acaiaca,MG,Minas Gerais,mg_acaiaca
2100055,Açailândia,MA,Maranhão,ma_acailandia
2900306,Acajutiba,BA,Bahia,ba_acajutiba
1500206,Acará,PA,Pará,pa_acara
2300150,Acarape,CE,Ceará,ce_acarape
2300200,Acaraú,CE,Ceará,ce_acarau
2400109,Acari,RN,Rio Grande do Norte,rn_acari
2200053,Acauã,PI,Piauí,pi_acaua
4300034,Aceguá,RS,Rio Grande do Sul,rs_acegua
2300309,Acopiara,CE,Ceará,ce_acopiara
5100102,Acorizal,MT,Mato Grosso,mt_acorizal
1200013,Acrelândia,AC,Acre,ac_acrelandia
5200134,Acreúna,GO,Goiás,go_acreuna
3100500,Açucena,MG,Minas Gerais,mg_acucena
3500105,Adamantina,SP,São Paulo,sp_adamantina
5200159,Adelândia,GO,Goiás,go_adelandia
3500204,Adolfo,SP,São Paulo,sp_adolfo
4100202,Adrianópolis,PR,Paraná,pr_adrianopolis
2900355,Adustina,BA,Bahia,ba_adustina
2600104,Afogados da Ingazeira,PE,Pernambuco,pe_afogados_da_ingazeira
2400307,Afonso Bezerra,RN,Rio Grande do Norte,rn_afonso_bezerra
3200102,Afonso Cláudio,ES,Espírito Santo,es_afonso_claudio
2100105,Afonso Cunha,MA,Maranhão,ma_afonso_cunha
2600203,Afrânio,PE,Pernambuco,pe_afranio
1500305,Afuá,PA,Pará,pa_afua
2600302,Agrestina,PE,Pernambuco,pe_agrestina
2200103,Agricolândia,PI,Piauí,pi_agricolandia
4200200,Agrolândia,SC,Santa Catarina,sc_agrolandia
4200309,Agronômica,SC,Santa Catarina,sc_agronomica
1500347,Água Azul do Norte,PA,Pará,pa_agua_azul_do_norte
3100609,Água Boa,MG,Minas Gerais,mg_agua_boa
5100201,Água Boa,MT,Mato Grosso,mt_agua_boa
2700102,Água Branca,AL,Alagoas,al_agua_branca
2200202,Água Branca,PI,Piauí,pi_agua_branca
2500106,Água Branca,PB,Paraíba,pb_agua_branca
5000203,Água Clara,MS,Mato Grosso do Sul,ms_agua_clara
3100708,Água Comprida,MG,Minas Gerais,mg_agua_comprida
4200408,Água Doce,SC,Santa Catarina,sc_agua_doce
2100154,Água Doce do Maranhão,MA,Maranhão,ma_agua_doce_do_maranhao
3200169,Água Doce do Norte,ES,Espírito Santo,es_agua_doce_do_norte
2900405,Água Fria,BA,Bahia,ba_agua_fria
5200175,Água Fria de Goiás,GO,Goiás,go_agua_fria_de_goias
5200209,Água Limpa,GO,Goiás,go_agua_limpa
2400406,Água Nova,RN,Rio Grande do Norte,rn_agua_nova
2600401,Água Preta,PE,Pernambuco,pe_agua_preta
4300059,Água Santa,RS,Rio Grande do Sul,rs_agua_santa
3500303,Aguaí,SP,São Paulo,sp_aguai
3100807,Aguanil,MG,Minas Gerais,mg_aguanil
2600500,Águas Belas,PE,Pernambuco,pe_aguas_belas
3500402,Águas da Prata,SP,São Paulo,sp_aguas_da_prata
4200507,Águas de Chapecó,SC,Santa Catarina,sc_aguas_de_chapeco
3500501,Águas de Lindóia,SP,São Paulo,sp_aguas_de_lindoia
3500550,Águas de Santa Bárbara,SP,São Paulo,sp_aguas_de_santa_barbara
3500600,Águas de São Pedro,SP,São Paulo,sp_aguas_de_sao_pedro
