id,name,state_code,state
5200050,Abadia de Goiás,GO,Goiás
3100104,Abadia dos Dourados,MG,Minas Gerais
5200100,Abadiânia,GO,Goiás
3100203,Abaeté,MG,Minas Gerais
1500107,Abaetetuba,PA,Pará
2300101,Abaiara,CE,Ceará
2900108,Abaíra,BA,Bahia
2900207,Abaré,BA,Bahia
4100103,Abatiá,PR,Paraná
4200051,Abdon Batista,SC,Santa Catarina
1500131,Abel Figueiredo,PA,Pará
4200101,Abelardo Luz,SC,Santa Catarina
3100302,Abre Campo,MG,Minas Gerais
2600054,Abreu e Lima,PE,Pernambuco
1700251,Abreulândia,TO,Tocantins
3100401,Acaiaca,MG,Minas Gerais
2100055,Açailândia,MA,Maranhão
2900306,Acajutiba,BA,Bahia
1500206,Acará,PA,Pará
2300150,Acarape,CE,Ceará
2300200,Acaraú,CE,Ceará
2400109,Acari,RN,Rio Grande do Norte
2200053,Acauã,PI,Piauí
4300034,Aceguá,RS,Rio Grande do Sul
2300309,Acopiara,CE,Ceará
5100102,Acorizal,MT,Mato Grosso
1200013,Acrelândia,AC,Acre
5200134,Acreúna,GO,Goiás
3100500,Açucena,MG,Minas Gerais
3500105,Adamantina,SP,São Paulo
5200159,Adelândia,GO,Goiás
3500204,Adolfo,SP,São Paulo
4100202,Adrianópolis,PR,Paraná
2900355,Adustina,BA,Bahia
2600104,Afogados da Ingazeira,PE,Pernambuco
2400307,Afonso Bezerra,RN,Rio Grande do Norte
3200102,Afonso Cláudio,ES,Espírito Santo
2100105,Afonso Cunha,MA,Maranhão
2600203,Afrânio,PE,Pernambuco
1500305,Afuá,PA,Pará
2600302,Agrestina,PE,Pernambuco
2200103,Agricolândia,PI,Piauí
4200200,Agrolândia,SC,Santa Catarina
4200309,Agronômica,SC,Santa Catarina
1500347,Água Azul do Norte,PA,Pará
3100609,Água Boa,MG,Minas Gerais
5100201,Água Boa,MT,Mato Grosso
2700102,Água Branca,AL,Alagoas
2200202,Água Branca,PI,Piauí
2500106,Água Branca,PB,Paraíba
5000203,Água Clara,MS,Mato Grosso do Sul
3100708,Água Comprida,MG,Minas Gerais
4200408,Água Doce,SC,Santa Catarina
2100154,Água Doce do Maranhão,MA,Maranhão
3200169,Água Doce do Norte,ES,Espírito Santo
2900405,Água Fria,BA,Bahia
