homepage,state_code,state
http://www.diariomunicipal.com.br/ama,AL,Alagoas
http://www.diariomunicipal.com.br/aam,AM,Amazonas
http://www.diariomunicipal.com.br/amurc,BA,Bahia
http://www.diariomunicipal.com.br/aprece,CE,Ceará
http://www.diariomunicipal.com.br/agm,GO,Goiás
http://www.diariomunicipal.com.br/fgm,GO,Goiás
http://www.diariomunicipal.com.br/amm-mg,MG,Minas Gerais
http://www.diariomunicipal.com.br/ms,MS,Mato Grosso do Sul
http://www.diariomunicipal.com.br/amm-mt,MT,Mato Grosso
http://www.diariomunicipal.com.br/famep,PA,Pará
http://www.diariomunicipal.com.br/famup,PB,Paraíba
http://www.diariomunicipal.com.br/amupe,PE,Pernambuco
http://www.diariomunicipal.com.br/appm,PI,Piauí
http://www.diariomunicipal.com.br/amp,PR,Paraná
http://www.diariomunicipal.com.br/aemerj,RJ,Rio de Janeiro
http://www.diariomunicipal.com.br/femurn,RN,Rio Grande do Norte
http://www.diariomunicipal.com.br/arom,RO,Rondônia
http://www.diariomunicipal.com.br/amr,RR,Roraima
http://www.diariomunicipal.com.br/famurs,RS,Rio Grande do Sul
http://www.diariomunicipal.com.br/sergipe,SE,Sergipe
http://www.diariomunicipal.com.br/apm,SP,São Paulo
