territory_id,homepage,state_code,raw_publishing_entity,matched_territory_name
2700102,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Água Branca,agua branca
2700201,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Anadia,anadia
2700300,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Arapiraca,arapiraca
2700409,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Atalaia,atalaia
2700508,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Barra de Santo Antonio,barra santo antonio
2700607,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Barra de São Miguel,barra sao miguel
2700706,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Batalha,batalha
2700805,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Belém,belem
2700904,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Belo Monte,belo monte
2701001,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Boca da Mata,boca mata
2701100,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Branquinha,branquinha
2701209,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Cacimbinhas,cacimbinhas
2701308,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Cajueiro,cajueiro
2701357,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Campestre,campestre
2701407,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Campo Alegre,campo alegre
2701506,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Campo Grande,campo grande
2701605,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Canapi,canapi
2701704,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Capela,capela
2701803,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Carneiros,carneiros
2701902,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Chã Preta,cha preta
2702009,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Coité do Nóia,coite noia
2702108,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Colônia Leopoldina,colonia leopoldina
2702207,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Coqueiro Seco,coqueiro seco
2702306,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Coruripe,coruripe
2702355,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Craíbas,craibas
2702405,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Delmiro Gouveia,delmiro gouveia
2702504,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Dois Riachos,dois riachos
2702553,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Estrela de Alagoas,estrela alagoas
2702603,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Feira Grande,feira grande
2702702,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Feliz Deserto,feliz deserto
2702801,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Flexeiras,flexeiras
2702900,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Girau do Ponciano,girau ponciano
2703007,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Ibateguara,ibateguara
2703106,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Igaci,igaci
2703205,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Igreja Nova,igreja nova
2703304,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Inhapi,inhapi
2703403,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Jacaré dos Homens,jacare homens
2703502,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Jacuípe,jacuipe
2703601,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Japaratinga,japaratinga
2703700,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Jaramataia,jaramataia
2703759,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Jequiá da Praia,jequia praia
2703809,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Joaquim Gomes,joaquim gomes
2703908,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Jundiá,jundia
2704005,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Junqueiro,junqueiro
2704104,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Lagoa da Canoa,lagoa canoa
2704203,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Limoeiro de Anadia,limoeiro anadia
2704500,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Maragogi,maragogi
2704609,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Maravilha,maravilha
2704708,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Marechal Deodoro,marechal deodoro
2704807,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Maribondo,maribondo
2704906,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Mar Vermelho,mar vermelho
2705002,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Mata Grande,mata grande
2705200,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Messias,messias
2705309,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Minador do Negrão,minador negrao
2705408,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Monteirópolis,monteiropolis
2705507,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Murici,murici
2705606,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Novo Lino,novo lino
2705705,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Olho d'Água das Flores,olho agua flores
2705804,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Olho d´Agua do Casado,olho agua casado
2705903,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Olho D´Água Grande,olho agua grande
2706000,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Olivença,olivenca
2706109,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Ouro Branco,ouro branco
2706208,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Palestina,palestina
2706406,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Pão de Açúcar,pao acucar
2706422,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Pariconha,pariconha
2706505,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Passo de Camaragibe,passo camaragibe
2706604,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Paulo Jacinto,paulo jacinto
2706802,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Piaçabuçu,piacabucu
2706901,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Pilar,pilar
2707008,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Pindoba,pindoba
2707107,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Piranhas,piranhas
2707206,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Poço das Trincheiras,poco trincheiras
2707305,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Porto Calvo,porto calvo
2707404,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Porto de Pedras,porto pedras
2707503,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Porto Real do Colégio,porto real colegio
2707602,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Quebrangulo,quebrangulo
2707701,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Rio Largo,rio largo
2707800,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Roteiro,roteiro
2707909,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Santa Luzia do Norte,santa luzia norte
2708006,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Santana do Ipanema,santana ipanema
2708105,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de Santana do Mundaú,santana mundau
2708303,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de São José da Laje,sao jose laje
2708402,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de São José da Tapera,sao jose tapera
2708501,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de São Luis do Quitunde,sao luis quitunde
2708709,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de São Miguel dos Milagres,sao miguel milagres
2708808,http://www.diariomunicipal.com.br/ama,AL,Prefeitura Municipal de São Sebastião,sao sebastiao
